;ProcessNumber;ContractingInstitutionName;CIAddress;CICity;CICPostalCode;Subject;ProcurementName;ShipmentLocationDescription;IsSectorAgreement;CentralInstitution;GroupProcurement;ContractTermination;ZPJN;IsDevided;AgreementStartDate;AgreementEndDate;AgreeementDurationMonthsDays;ProcedureName;OfferTypeName;UseElectronicTools;ContractDate;ContractNumber;NumberOfOffers;HighestOfferValue;LowestOfferValue;VendorName;VendorAddress;VendorCity;VendorState;GroupBid;EstimatedPrice;ContractPriceWithoutVat;Vat;ContractPrice;DateOfDispatchBJN
265;01517/2020;ЈКП Брегалница Делчево;ул. М.М.Брицо бр.36;Делчево;2320;Набавка на хортикултурни растенија;Стоки;франко магацин на ЈКП Брегалница Делчево;Не;Не;Не;Не;03441000-3;Да;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-02;01517-6/2020;3.0;39500.0;30300.0;Друштво за производство,трговија и услуги РИСТОВИ ИР ДООЕЛ увоз-извоз с.Владиевци Василево;НАСЕЛЕНО МЕСТО БЕЗ УЛИЧЕН СИСТЕМ 93А;ВЛАДИЕВЦИ;Република Македонија;Не;354000.0;15600.0;18;18408.0;2020-03-27
266;02403/2020;ЈОУДГ„РОСИЦА“-Ѓорче Петров-Скопје;ул.Исаија Мажовски бр.35;Скопје;1000;Превоз за потребите на ЈОУДГ Росица на деца и вработени;Услуги;ЈОУДГ Росица - одредена дестинација - ЈОУДГ Росица;Не;Не;Не;Не;60100000-9;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-23;05-37/9;3.0;360000.0;77000.0;Друштво за транспорт,трговија и услуги ВИСТА ТУРС ДООЕЛ Скопје;БУЛЕВАР КУЗМАН ЈОСИФОВСКИ - ПИТУ 28/лок.2;СКОПЈЕ - АЕРОДРОМ;Република Македонија;Не;94400.0;77000.0;5;80850.0;2020-03-27
267;03253/2020;Министерство за надворешни работи на Република Северна Македонија;Филип Втори Македонски бр. 7;Скопје;1000;Набавка на услуги за миење на возилата на МНР;Услуги;во објектот/пералната на Носителот на набавка;Не;Не;Не;Не;50000000-5;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-27;05-6507/20-7;3.0;6380.0;1620.0;Друштво за производство трговија и услуги СЕРВИС ЗА МИЕЊЕ НА ВОЗИЛА БРАНЕ ДООЕЛ Скопје;ИВО ЛОЛА РИБАР 65;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;212400.0;180000.0;18;212400.0;2020-03-27
268;02800/2020;СУГС „МАРИЈА КИРИ - СКЛОДОВСКА“ - СКОПЈЕ;бул. „Трета Македонска бригада“ број 63-А;Скопје;1000;Набавка на услуги од авторска агенција за потребите на училиштето;Услуги;.;Не;Не;Не;Не;66000000-0;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-25;05-177/23;5.0;90000.0;30000.0;Агенција за интелектуална сопственост АРТПИЦК ДООЕЛ Скопје;ЈОСИФ ЈОСИФОВСКИ - СВЕШТАРОТ 39-28;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;3540000.0;3000000.0;18;3540000.0;2020-03-27
269;01071/2020;Дирекција за технолошки индустриски развојни зони;Бул.Партизански одреди бр.2, П.Фах 311;Скопје;1000;Набавка на канцелариски материјал, хартија за фотокопирање и принтање и други материјали;Стоки;Дирекција за ТИРЗ и Административна зграда во ТИРЗ Скопје- Бунарџик;Не;Не;Не;Не;30192000-1,30197630-1,30197643-5;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-02-27;05-227/2;7.0;612200.0;311333.0;Друштво за производство, промет и услуги ОФИС ПЛУС ДООЕЛ  увоз-извоз Скопје;ИНДУСТРИСКА 4;СКОПЈЕ - ГАЗИ БАБА;Република Македонија;Не;359900.0;283398.4;18;334410.11;2020-03-06
270;03110/2020;Државен завод за статистика;Даме Груев 4;Скопје;1000;канцелариски материјали;Стоки;Државен завод за статистика, ул. Даме Груев бр.4 Скопје;Не;Не;Не;Не;30000000-9;Да;04/06/2020;03/12/2021;;Набавки од мала вредност;Цена;Да;2020-03-23;05-340/6;5.0;419475.0;195999.0;Друштво за трговија и услуги ЕУРО ОФИС ДООЕЛ увоз-извоз Скопје;ПЕРО НАКОВ 1;СКОПЈЕ - ГАЗИ БАБА;Република Македонија;Не;708000.0;168000.0;18;198240.0;2020-03-27
271;04120/2020;СОУ Гимназија ,,Д-р. Ибрахим Темо,, - Струга;Пролетерски бригади бр. 49А;Струга;6330;електрична енергија;Стоки;СОУ Гимназија  ,,Д-р Ибрахим Темо,, Струга;Не;Не;Не;Не;09000000-3;Не;04/01/2020;03/31/2021;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-24;05-141/5;1.0;12.0;12.0;Друштво за производство,трговија и услуги МИСТ ЕНЕРЏИ ДООЕЛ Скопје;БУЛЕВАР КОЧО РАЦИН 33;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;448400.0;380000.0;18;448400.0;2020-03-27
272;01906/2020;Министерство за транспорт и врски - Државен инспекторат за транспорт;Ул.Булевар Кузман Јосифовски - Питу бр.21;Скопје;1000;Екстра лесно масло за домаќинство – 1 (ЕЛ-1);Стоки;;Не;Не;Не;Не;09100000-0;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-19;05-208/7;2.0;216700.0;214390.0;Друштво за производство, трговија и услуги  ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница;НАСЕЛЕНО МЕСТО БЕЗ УЛИЧЕН СИСТЕМ 1;ПЛАСНИЦА;Република Македонија;Не;236000.0;200000.0;18;236000.0;2020-03-27
273;02104/2020;Агенција за заштита на личните податоци;бул. Гоце Делчев бр. 18;Скопје;1000;Набавка на услуги за резервација и испорака на авионски билети и хотелско сместување за период од една година;Услуги;Република Северна Македонија;Не;Не;Не;Не;60400000-2;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-20;15-295/27 од 20.03.2020 година;6.0;2700.0;0.01;Друштво за туризам и угостителство АТЛАНТИС ДООЕЛ Струмица;ДИМИТАР ВЛАХОВ 18;СТРУМИЦА;Република Македонија;Не;1416000.0;1200000.0;0;1200000.0;2020-03-27
274;00072/2020;ЈОУДГ Мајски Цвет - Битола;ул. : ЈНА бб;Битола;7000;Набавка на здравствено хигиенски прегледи на вработените и микробиолошки анализи за кујна;Услуги;Наведено во тендерската документација;Не;Не;Не;Не;85100000-0;Не;01/15/2020;01/14/2021;;Набавки од мала вредност;Цена;Да;2020-01-15;05-15/2;1.0;343200.0;343200.0;Јавна здравствена установа-Центар за јавно здравје Битола;ул. Партизанска бб;Битола;Република Македонија;Не;531000.0;343200.0;0;343200.0;2020-03-27
275;03670/2020;ЈОУДГ Мајски Цвет - Битола;ул. : ЈНА бб;Битола;7000;Набавка на услуги од агенција за обезбедување на објекти;Услуги;Детски градинки во состав на ЈОУДГ Мајски Цвет Битола;Не;Не;Не;Не;98513100-3;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-19;05-94/1;1.0;168000.0;168000.0;Друштво за обезбедување на лица и имот, трговија и услуги МДН ОБЕЗБЕДУВАЊЕ ДООЕЛ Скопје;ЦРНИЧЕ 20;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;236000.0;168000.0;18;198240.0;2020-03-27
276;00794/2020;ЈЗУ Општа Болница Струмица;Малдинска 2;Струмица;2400;Одржување на хигиена во објекти на болницата и одржување  на дворно место;Услуги;ЈЗУ Општа болница Струмица ул.„Младинска“ бр.2;Не;Не;Не;Не;90920000-2;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-04;05-203/7;10.0;6000000.0;4200000.0;Друштво за производство, трговија и услуги ТЕХНО ХИГИЕНА ДООЕЛ  Струмица;8-МИ МАРТ 17;СТРУМИЦА;Република Македонија;Не;4720000.0;2940000.0;18;3469200.0;2020-03-27
277;02217/2020;ЈКП Брегалница Делчево;ул. М.М.Брицо бр.36;Делчево;2320;Набавка на материјали;Стоки;Франко магацин на ЈКП Брегалница во Делчево;Не;Не;Не;Не;44100000-1;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-18;02217-15/2020;3.0;217650.0;129100.0;Друштво за производство,промет и услуги ОКИ-ПРОМ Орце ДООЕЛ увоз-извоз Делчево;ЦАРЕВОСЕЛСКА 7;ДЕЛЧЕВО;Република Македонија;Не;3540000.0;111026.0;18;131010.68;2020-03-30
278;01983/2020;ЈЗУ Општа болница Охрид;Сирма Војвода бб;Охрид;6000;Хемикалии и амбалажа за галенска лабораторија;Стоки;Болничка Аптека при ЈЗУ Општа Болница Охрид;Не;Не;Не;Не;24000000-4;Да;03/16/2020;03/16/2021;Месеци: 12 Денови: 365;Набавки од мала вредност;Цена;Да;2020-03-16;27-238/13-2;5.0;75000.0;15367.2;Трговско друштво за промет и услуги АХЕМА ДОО експорт-импорт Скопје;ЗАГРЕБСКА 28-Б;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;708000.0;11460.0;18;13522.8;2020-04-01
279;00925/2020;Државен архив на Република Северна Македонија;кеј. Димитар Влахов бр. 19;Скопје;1000;сервис на возила;Услуги;во објектите на економскиот оператор;Не;Не;Не;Не;50000000-5;Не;03/01/2020;02/28/2021;Месеци: 12 Денови: 365;Поедноставена отворена постапка;Цена;Да;2020-03-31;05-1057/1;5.0;2002800.0;736536.1;Друштво за производство трговија и услуги СГ АУТО ДОО Скопје;БУЛЕВАР МАКЕДОНСКО - КОСОВСКА БРИГАДА 38 Г;СКОПЈЕ - ШУТО ОРИЗАРИ;Република Македонија;Не;767000.0;429936.1;18;507324.6;2020-04-01
280;00568/2020;ЈП Комуналец-Неготино;Маршал Тито 49;Неготино;1440;Пумпи и електрични инсталации;Услуги;;Не;Не;Не;Не;31000000-6;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-02;05-130/1;2.0;395930.0;300300.0;Друштво за производство  трговија и услуги  ЕМПА СЕРВИС АЛЕКСАНДАР ДООЕЛ увоз-извоз Неготино;МАРШАЛ ТИТО 101;НЕГОТИНО;Република Македонија;Не;472000.0;168300.0;18;198594.0;2020-04-01
281;02551/2020;Град Скопје;Бул. Илинден 82;Скопје;1000;Набавка и монтажа на јавни чешми за пиење вода и нивно одржување;Стоки;Град Скопје;Не;Не;Не;Не;42131000-6;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-23;08-2853/1;1.0;1694400.0;1694400.0;Друштво за производство,трговија и услуги УРБАНО ЕЛ ДООЕЛ Скопје;ИВО ЛОЛА РИБАР 124-5;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;4700000.18;1694400.0;18;1999392.0;2020-04-01
282;03714/2020;ЈПКД Комуналец - Струмица;Климент Охридски бр. 35б;Струмица;2400;Лепење и режење на гуми за товарни возила;Услуги;Струмица;Не;Не;Не;Не;50110000-9;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-30;05-1370/4;1.0;600000.0;600000.0;Друштво за транспорт и трговија МИКОПРОМЕТ увоз-извоз ДООЕЛ с.Костурино Струмица;НАСЕЛЕНО МЕСТО БЕЗ УЛИЧЕН СИСТЕМ 339;КОСТУРИНО;Република Македонија;Не;708000.0;600000.0;18;708000.0;2020-04-01
283;03465/2020;Општина Пехчево;ул.,,Равен бр. 8;Пехчево;2326;Услуги за поправка и одржување на службени возила;Услуги;;Не;Не;Не;Не;50000000-5;Не;03/27/2020;03/27/2021;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-27;03-253/13;1.0;1200.0;1200.0;Друштво за технички преглед на моторни и приклучни возила,исправност,анализа и регистрација АВТОВОЗАЧ-ФЕР ДООЕЛ Делчево;БУЛЕВАР МАКЕДОНИЈА 1И населба/Милково-Брдо;ДЕЛЧЕВО;Република Македонија;Не;177000.0;150000.0;18;177000.0;2020-04-01
284;01299/2020;Здравствен дом Струмица;Младинска 2;Струмица;2400;одржување и сервисирање на медицинска опрема и резервни делови по потреба;Услуги;ЈЗУ Здравствен дом Струмица;Не;Не;Не;Не;50000000-5;Да;02/26/2020;02/26/2021;Месеци: 12 Денови: 365;Набавки од мала вредност;Цена;Да;2020-02-26;05-160/6;1.0;3400.0;3400.0;Друштво за трговија, услуги и производство КМ Марјан ДООЕЛ Експорт Импорт Скопје;НИКОЛА ПАРАПУНОВ ББ;СКОПЈЕ - КАРПОШ;Република Македонија;Не;354000.0;13043.48;18;15391.31;2020-04-01
285;00682/2020;ЈЗУ Здравствен дом “д-р Панче Караѓозов“ - Штип;Христијан Карпош бр. 1;Штип;2000;Стоматолошки потрошен материјал;Стоки;ЈЗУ Здравствен дом “ д-р Панче Караѓозов“-Штип, со адреса на ул. “Христијан Карпош“ бр. 1 , Штип;Не;Не;Не;Не;33130000-0,33141810-1;Да;04/01/2020;03/31/2021;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-18;0307-445/20;2.0;14400.0;320.0;Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје;СВ.КИРИЛ И МЕТОДИЈ 50;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;177000.0;28325.48;0/5/18%;32489.2;2020-04-01
286;00682/2020;ЈЗУ Здравствен дом “д-р Панче Караѓозов“ - Штип;Христијан Карпош бр. 1;Штип;2000;Стоматолошки потрошен материјал;Стоки;ЈЗУ Здравствен дом “ д-р Панче Караѓозов“-Штип, со адреса на ул. “Христијан Карпош“ бр. 1 , Штип;Не;Не;Не;Не;33130000-0,33141810-1;Да;04/01/2020;03/31/2021;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-18;05-8/1;1.0;6101.0;6101.0;Друштво за производство и трговија ДЕНТОМЕД-М Никола ДООЕЛ Скопје;БОЈМИЈА 2-2;СКОПЈЕ - АЕРОДРОМ;Република Македонија;Не;177000.0;6101.0;18;7199.18;2020-04-01
287;00634/2020;ДСД „Браќа Миладиновци“ Штип;ул.Партизанска“ 50;Штип;2000;прехранбени производи и средства за хигиена;Стоки;Кујна во ДСД,,Брака Миладиновци,,-Штип;Не;Не;Не;Не;15000000-8;Да;02/25/2020;02/25/2021;Месеци: 12 Денови: 365;Поедноставена отворена постапка;Цена;Да;2020-02-25;0307-17/6;5.0;877696.0;654430.0;Друштво за трговија и услуги ПАТРИА експорт-импорт ДООЕЛ Штип;САНЕ ЃОРЃИЕВ 49;ШТИП;Република Македонија;Не;4515000.0;449642.0;5;472124.1;2020-03-11
288;00634/2020;ДСД „Браќа Миладиновци“ Штип;ул.Партизанска“ 50;Штип;2000;прехранбени производи и средства за хигиена;Стоки;Кујна во ДСД,,Брака Миладиновци,,-Штип;Не;Не;Не;Не;15000000-8;Да;02/25/2020;02/25/2021;Месеци: 12 Денови: 365;Поедноставена отворена постапка;Цена;Да;2020-02-25;0307-17/12;4.0;267775.0;200170.0;Друштво за производство,трговија и услуги РИКИ-ЈУНИОР ДООЕЛ увоз-извоз Кочани;ЛЕНИНОВА ББ;КОЧАНИ;Република Македонија;Не;4515000.0;183800.0;18;216884.0;2020-03-11
289;00390/2020;Општина Гевгелија;Димитар Влахов 4;Гевгелија;1480;Опрема за детски игралишта;Стоки;Гевгелија;Не;Не;Не;Не;37535000-7;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-04-01;03-690/1;2.0;907500.0;685000.0;Друштво за производство, трговија и услуги МСА КОМПАНИ ДООЕЛ увоз-извоз Скопје;ТОМЕ ПУРЕ 1;СКОПЈЕ - БУТЕЛ;Република Македонија;Не;808559.6;685000.0;18;808300.0;2020-04-01
290;;Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје;ул. 11 Октомври бр.9;Скопје;1000;Сервис на разладни машини, за ПЕ Термоелектрани РЕК Битола;Услуги;РЕК Битола;Не;Не;Не;Не;42000000-6;Не;03/25/2020;03/25/2021;Месеци: 12;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2020-03-25;09т-2040/1;2.0;2510481.0;2428678.0;Друштво за производство, трговија и услуги ФРИГОКЛИМА ДООЕЛ увоз-извоз Скопје;БУЛЕВАР ЈАНЕ САНДАНСКИ 91/1-9;СКОПЈЕ - АЕРОДРОМ;Република Македонија;Не;1770000.0;1500000.0;18;1770000.0;2020-04-01
291;00479/2020;ЈКП Комуналец - Свети Николе;ул.Карпошева бр.82;Свети Николе;2220;Набавка на асфалт;Стоки;Свети Николе;Не;Не;Не;Не;44113620-7;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-02-12;0507-28/7;2.0;4310.0;4000.0;Друштво за производство,трговија и услуги ПГА ПРОЕКТИНГ ДООЕЛ Свети Николе;ПЛОШТАД ИЛИНДЕН 16;СВЕТИ НИКОЛЕ;Република Македонија;Не;590000.0;500000.0;18;590000.0;2020-04-01
292;01763/2020;Државен санитарен и здравствен инспекторат Скопје;50-та Дивизија бр.14;Скопје;1000;Персонални и преносливи компјутери со лиценциран софтвер;Стоки;Државен санитарен и здравствен инспекторат на РСМ, со адреса на ул.“50-та Дивизија” бр.14 – Скопје,;Не;Не;Не;Не;30000000-9,48000000-8;Не;03/25/2020;03/25/2021;Месеци: 12 Денови: 365;Поедноставена отворена постапка;Цена;Да;2020-03-25;08-382/3;2.0;2204483.0;919728.0;Друштво за производство, трговија и услуги ЛАТРОН СОЛУШНС ДООЕЛ увоз-извоз Скопје;БУЛЕВАР ПАРТИЗАНСКИ ОДРЕДИ 113Б/1-22;СКОПЈЕ - КАРПОШ;Република Македонија;Не;1000000.05;919728.0;5;965714.4;2020-04-01
293;03064/2020;Дирекција за технолошки индустриски развојни зони;Бул.Партизански одреди бр.2, П.Фах 311;Скопје;1000;Тековно одржување на мултифункционална машина (авант);Услуги;;Не;Не;Не;Не;50110000-9;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-25;05-389/2;1.0;559420.0;559420.0;Друштво за производство,трговија и услуги КОЗАРА ДООЕЛ увоз-извоз Скопје;ПЕРО НАКОВ 122 А;СКОПЈЕ - ГАЗИ БАБА;Република Македонија;Не;708000.0;559420.0;18;660115.6;2020-04-01
294;03724/2020;Министерство за информатичко општество и администрација;ул. „Св. Кирил и Методиј“ бр.54;Скопје;1000;Горива за моторни возила;Стоки;Наведено во тендерската документација и техничката спецификација;Не;Не;Не;Не;09100000-0;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-24;14/4-1235/10;1.0;157.61;157.61;МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје;СВ.КИРИЛ И МЕТОДИЈ 4;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;826000.0;700000.0;18;826000.0;2020-04-01
295;00441/2020;Јавна здравствена установа Специјализирана болница за превенција лекување и рехабилитација на кардиоваскуларни заболувања Охрид;населба Св.Стефан, бб;Охрид;6000;Медицински потрошен материјал за интервентна кардиологија-стентови;Стоки;ЈЗУ Специјализирана болница за превенција, лекување и рехабилитација на кардиоваскуларни заболувања - Охрид, со адреса - населба ,,Свети Стефан“ б.б. Охрид;Не;Не;Не;Не;33111710-1;Да;;;Месеци: 12 Денови: 365;Отворена постапка;Најдобар однос помеѓу цената и квалитетот;Да;2020-03-16;03-346;3.0;1537500.0;850000.0;Друштво за производство, трговија и услуги ФАРМА ТРЕЈД  ДООЕЛ увоз-извоз Скопје;АНТОН ПОПОВ 1/1-3;СКОПЈЕ - КИСЕЛА ВОДА;Република Македонија;Не;31500000.0;1537500.0;5;1614375.0;2020-04-02
296;02217/2020;ЈКП Брегалница Делчево;ул. М.М.Брицо бр.36;Делчево;2320;Набавка на материјали;Стоки;Франко магацин на ЈКП Брегалница во Делчево;Не;Не;Не;Не;44100000-1;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-18;02217-16/2020;3.0;551824.0;385460.0;Друштво за производство,промет и услуги ОКИ-ПРОМ Орце ДООЕЛ увоз-извоз Делчево;ЦАРЕВОСЕЛСКА 7;ДЕЛЧЕВО;Република Македонија;Не;3540000.0;301146.0;18;355352.28;2020-04-02
297;00441/2020;Јавна здравствена установа Специјализирана болница за превенција лекување и рехабилитација на кардиоваскуларни заболувања Охрид;населба Св.Стефан, бб;Охрид;6000;Медицински потрошен материјал за интервентна кардиологија-стентови;Стоки;ЈЗУ Специјализирана болница за превенција, лекување и рехабилитација на кардиоваскуларни заболувања - Охрид, со адреса - населба ,,Свети Стефан“ б.б. Охрид;Не;Не;Не;Не;33111710-1;Да;;;Месеци: 12 Денови: 365;Отворена постапка;Најдобар однос помеѓу цената и квалитетот;Да;2020-03-16;03-343;1.0;2730000.0;2050000.0;Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје;СВ.КИРИЛ И МЕТОДИЈ 50;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;31500000.0;4780000.0;5;5019000.0;2020-04-02
298;00631/2020;Агенција за храна и ветеринарство;бул. „Трета македонска ударна бригада“ 20;Скопје;1000;Набавка на вакцини за мали преживари против болеста Бруцелоза;Стоки;Скопје;Не;Не;Не;Не;33600000-6;Не;03/10/2020;;Месеци: 12;Отворена постапка;Цена;Да;2020-03-10;37-282/3;1.0;2376000.0;2376000.0;Заштитно друштво за производство, трговија и услуги  НУТРИВЕТ ДООЕЛ Скопје;ЛИСЕЦ 1 Б;СКОПЈЕ - АЕРОДРОМ;Република Македонија;Не;2809999.96;2376000.0;5;2494800.0;2020-03-11
299;00100/2020;ЈЗУ Клиничка Болница Тетово;29 Ноември бр.16;Тетово;1200;Потрошен материјал за  интервентна катдиологија;Стоки;;Не;Не;Не;Не;33111710-1;Да;;;Месеци: 12;Отворена постапка;Цена;Да;2020-02-27;03-775/1;6.0;2400000.0;62000.0;Друштво за трговија и услуги  МЕДИКАНОВА ДООЕЛ Скопје;МИЛЕ ПОПЈОРДАНОВ 28;СКОПЈЕ - КАРПОШ;Република Македонија;Не;26262358.0;4805040.0;0/5/18%;5357947.0;2020-03-11
300;02035/2020;Општина Гази Баба;ул.Архимедова бр.2;Скопје;1000;Осигурување на недвижност, опрема и мебел;Услуги;Општина Гази Баба;Не;Не;Не;Не;66515200-5;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-05;26-1129/6;4.0;547602.0;201962.0;Друштво за осигурување ХАЛК ОСИГУРУВАЊЕ АД Скопје;1737 32;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;299999.66;30294.3;0;30294.3;2020-03-11
301;02216/2020;Општина Кочани;Раде Кратовче бр. 1;Кочани;2300;Набавка на материјали со работна рака за одржување на улично осветлување и изградба на ново улично осветлување;Стоки;Општина Кочани;Не;Не;Не;Не;31000000-6,45000000-7;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-31;05-494/4;3.0;1818380.0;1473750.0;Друштво за трговија и услуги ЕЛЕКТРИКА ДООЕЛ увоз-извоз Кочани;ОРЦЕ НИКОЛОВ 22;КОЧАНИ;Република Македонија;Не;2262124.0;1473750.0;18;1739025.0;2020-04-02
302;01602/2020;Општина Ѓорче Петров;ул.  Ѓорче Петров бр.22;Скопје;1000;Одржување на улици и патишта со крпење на ударни дупки на територија на Општината;Услуги;територија на Општина Ѓорче Петров;Не;Не;Не;Не;45233120-6;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-18;03-19/11;4.0;19070.0;10540.0;Друштво за градежништво,трговија и услуги ЛЕНДИ ГРУП ДООЕЛ Скопје;ЛОНДОНСКА 19/лок.28;СКОПЈЕ - КАРПОШ;Република Македонија;Не;3000000.14;2542373.0;18;3000000.14;2020-04-02
303;00569/2020;Ј.З.У.Специјална болница за белодробни заболувања и туберкулоза,,Јасеново,, Велес;ЈЗУ Специјална Болница ,,Јасеново,,;Велес;1400;Набавка на Екстра лесно масла за горење;Стоки;ЈЗУ Болница Јасеново Велес;Не;Не;Не;Не;09000000-3;Не;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-02-19;05-48/3;4.0;2294820.0;2294250.0;Друштво за производство,трговија и услуги ТРИТЕРОЛ ПЕТРОЛ ДООЕЛ Скопје;МАЈКА ТЕРЕЗА 2-15;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;2950000.0;1927178.0;18;2274070.04;2020-04-02
304;01028/2020;Национална установа Национална опера и балет;Бул. Гоце Делчев бр. 4;Скопје;1000;Потрошен материјал за музички инструменти;Стоки;НУ Национална опера и балет бул. Гоце Делчев бр. 4 Скопје;Не;Не;Не;Не;37320000-7;Не;;;Месеци: 12;Поедноставена отворена постапка;Економски најповолна понуда;Да;2020-03-10;05-392/10;1.0;4073462.0;4073462.0;Друштво за трговија и услуги АРТИСТ - СИСТЕМС ДООЕЛ Скопје;ВАСИЛ ЃОРГОВ 9;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;4806685.16;4073462.0;18;4806685.16;2020-03-11
305;02739/2020;ЈЗУ Клиничка болница Битола;Партизанска бб;Битола;7000;набавка на реагенси за контрола на инфузиони раствори;Стоки;Клиничка болница Битола;Не;Не;Не;Не;33696500-0;Да;03/04/2020;03/04/2021;Месеци: 12 Денови: 365;Набавки од мала вредност;Цена;Да;2020-03-04;05/2020/00273/23/1;1.0;281250.0;67500.0;Друштво за производство,трговија и услуги ИНОМЕД ТРЕЈД ДООЕЛ увоз-извоз Скопје;ПОП БОГОМИЛ 2А;СКОПЈЕ - КАРПОШ;Република Македонија;Не;413000.0;348750.0;18;411525.0;2020-03-11
306;01900/2020;Ј.З.У.Специјална болница за белодробни заболувања и туберкулоза,,Јасеново,, Велес;ЈЗУ Специјална Болница ,,Јасеново,,;Велес;1400;Набавка на Разновидни печатени материјали-Канцелариски материјали;Стоки;Магацин на ЈЗУ Болница ,,Јасеново,, Велес;Не;Не;Не;Не;22000000-0;Да;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-03-03;05-100/3;5.0;242442.0;124084.21;Друштво за производство,промет и услуги МАГ-КОМЕРЦ ДООЕЛ увоз-извоз  Велес;БЛАГОЈ ЃОРЕВ 161;ВЕЛЕС;Република Македонија;Не;236000.0;122844.21;18;144956.17;2020-04-02
307;02217/2020;ЈКП Брегалница Делчево;ул. М.М.Брицо бр.36;Делчево;2320;Набавка на материјали;Стоки;Франко магацин на ЈКП Брегалница во Делчево;Не;Не;Не;Не;44100000-1;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-03-18;02217-20/2020;2.0;120000.0;61020.0;Друштво за производство и градежништво СД-ТРАНС ДООЕЛ Славе извоз-увоз с.Звегор Делчево;с. звегор;ЗВЕГОР;Република Македонија;Не;3540000.0;61020.0;18;72003.6;2020-04-02
308;01549/2020;ЈЗУ Општа болница со проширена дејност - Кавадарци;Ул. Шишка бр. 35;Кавадарци;1430;Собирање, транспорт и уништување на медицински отпад;Услуги;ЈЗУ Општа болница со проширена дејност - Кавадарци Ул. Шишка бр. 35, Кавадарци;Не;Не;Не;Не;90510000-5,90524000-6;Не;02/17/2020;02/16/2021;Месеци: 12 Денови: 365;Набавки од мала вредност;Цена;Да;2020-02-17;03-141/7;1.0;300000.0;300000.0;Трговско друштво за еколошки, комунални и други услуги РЕМОНДИС МЕДИСОН ДОО Битола;ПЕТАР ПЕТРОВИЌ - ЊЕГОШ 131;БИТОЛА;Република Македонија;Не;377600.0;300000.0;5;315000.0;2020-04-02
