;ProcessNumber;ContractingInstitutionName;CIAddress;CICity;CICPostalCode;Subject;ProcurementName;ShipmentLocationDescription;IsSectorAgreement;CentralInstitution;GroupProcurement;ContractTermination;ZPJN;IsDevided;AgreementStartDate;AgreementEndDate;AgreeementDurationMonthsDays;ProcedureName;OfferTypeName;UseElectronicTools;ContractDate;ContractNumber;NumberOfOffers;HighestOfferValue;LowestOfferValue;VendorName;VendorAddress;VendorCity;VendorState;GroupBid;EstimatedPrice;ContractPriceWithoutVat;Vat;ContractPrice;DateOfDispatchBJN
1230;08492/2020;Град Скопје;Бул. Илинден 82;Скопје;1000;Поправка и сервисирање  на лесни моторни возила;Услуги;;Не;Не;Не;Не;50112000-3;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-08-04;08-5591/1;3.0;4249490.4;2387369.26;Друштво за производство трговија и услуги СГ АУТО ДОО Скопје;БУЛЕВАР МАКЕДОНСКО - КОСОВСКА БРИГАДА 38 Г;СКОПЈЕ - ШУТО ОРИЗАРИ;Република Македонија;Не;3350000.0;423729.0;18;500000.22;2020-08-05
1231;;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Нас.Козле б.б.;Скопје;1000;Набавка на лекови и медицински потрошен материјал за COVID-19 центар;Стоки;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Не;Не;Не;Не;;Да;07/08/2020;10/08/2020;Месеци: 3 Денови: 90;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2020-07-07;0307-342/1;16.0;7020000.0;9384.0;Друштво за внатрешна и надворешна трговија, застапување и услуги МЕДЕКС ФАРМ ДООЕЛ Скопје;ЈОРДАН МИЈАЛКОВ 46/8;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;8519498.3;447925.0;5;470321.25;2020-08-06
1232;;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Нас.Козле б.б.;Скопје;1000;Набавка на лекови и медицински потрошен материјал за COVID-19 центар;Стоки;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Не;Не;Не;Не;;Да;07/07/2020;10/07/2020;Месеци: 3 Денови: 90;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2020-07-07;0307-350/1;16.0;7020000.0;9384.0;Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје;СВ.КИРИЛ И МЕТОДИЈ 50;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;8519498.3;9384.0;5;9853.2;2020-08-06
1233;09528/2020;Општина Македонски Брод;ул.„7-ми Септември“бр.4;Македонски Брод;6530;Проектна документација-проекти за  локални патишта Модриште –Вир,Брезница –Тажево и улици во с.Суви Дол,Црешнево и Брест(инфраструктурни проекти и основени проекти);Услуги;Македонски Брод;Не;Не;Не;Не;71000000-8;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-07-29;05-100/7;8.0;1510000.0;551000.0;Трговско друштво за проектирање инжинеринг градежништво трговија производство и услуги ПРОЕКТ БИРО увоз-извоз ДОО Охрид;БУЛЕВАР ТУРИСТИЧКА ББ-стан бр.12;ОХРИД;Република Македонија;Не;559320.0;474000.0;18;559320.0;2020-08-06
1234;08665/2020;Филозофски факултет Скопје;Бул. Гоце Делчев бр.9А;Скопје;1000;Набавка на услуги за копнен транспорт;Услуги;УКИМ Филозофски факултет бул. Гоце Делчев бр.9а Скопје;Не;Не;Не;Не;60000000-8;Да;07/19/2020;07/19/2021;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-07-14;03-1306/1;4.0;7600.0;5270.0;Друштво за промет,посредување и услуги ЏОРЏ КОМПАНИ Роберт ДООЕЛ увоз-извоз Скопје;191 14;СКОПЈЕ - ЧАИР;Република Македонија;Не;1416000.0;200000.0;18;236000.0;2020-08-06
1235;07018/2020;Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје;ул. 11 Октомври бр.9;Скопје;1000;Масло редукторско (РЕК Битола);Стоки;РЕК Битола;Не;Не;Не;Не;09211500-6;Да;07/28/2020;07/28/2021;Месеци: 12;Отворена постапка;Цена;Да;2020-07-28;09р-4014/1;6.0;210.0;100.0;Друштво за производство на моторни и индустриски масла,трговија и услуги 3 СТ увоз-извоз ДООЕЛ Илинден;21 8;ИЛИНДЕН;Република Македонија;Не;11761522.56;3000000.0;18;3540000.0;2020-08-06
1236;09767/2020;ЈП Камена Река - Македонска Каменица;ул. Рударска број 7;Македонска Каменица;2304;услуги за редовно сервисирање на градежни машини;Услуги;ЈП Камена река М.Каменица;Не;Не;Не;Не;50000000-5;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-07-17;05-248/1;1.0;373055.3;373055.3;Друштво за трговија и услуги ГЛОБАЛ МОТОРС ДООЕЛ Скопје;БУЛЕВАР МАКЕДОНСКО - КОСОВСКА БРИГАДА 60;СКОПЈЕ - БУТЕЛ;Република Македонија;Не;590000.0;373055.3;18;440205.25;2020-08-06
1237;;ЈЗУ Универзитетска Клиника за гинекологија и акушерство Скопје;Водњанска 17;Скопје;1000;МЕДИЦИНСКИ ПРЕГЛЕДНИ РАКАВИЦИ;Стоки;;Не;Не;Не;Не;;Не;;;Месеци: 3;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2020-08-04;03-1514/13;1.0;2907000.0;2907000.0;Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје;СВ.КИРИЛ И МЕТОДИЈ 50;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;3436160.0;2907000.0;18;3430260.0;2020-08-06
1238;07413/2020;општина Дебрца;с.Белчишта;Охрид;6344;Ангажирање  на телескопска дигалка;Услуги;Општина Дебрца;Не;Не;Не;Не;50000000-5;Не;;;Месеци: 12 Денови: 365;Набавки од мала вредност;Цена;Да;2020-06-25;12-1123/1;2.0;286000.0;199940.0;Трговско друштво за градежништво, производство, трговија и услуги ВАЛИБО ДООЕЛ с.Лешани,Белчишта;ЛЕШАНИ;ЛЕШАНИ;Република Македонија;Не;236000.0;115440.0;18;136219.2;2020-08-06
1239;;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Нас.Козле б.б.;Скопје;1000;Набавка на лекови и медицински потрошен материјал за COVID-19 центар;Стоки;ЈЗУ Институт по белодробни заболувања кај децата козле Скопје;Не;Не;Не;Не;;Да;07/20/2020;10/20/2020;Месеци: 3 Денови: 90;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2020-07-07;0307-347/1;16.0;7020000.0;9384.0;Трговско друштво за производство,промет и услуги ВЕСТА ДРОГЕРИЈА увоз-извоз ДООЕЛ Скопје;ФРАНКЛИН РУЗВЕЛТ 3;СКОПЈЕ - КАРПОШ;Република Македонија;Не;8519498.3;4000000.0;18;4720000.0;2020-08-06
